Epoch 1/16: selected 1, broad 93173.39 vs 96939.56
Epoch 2/16: selected 2, broad 92230.98 vs 96939.56
Epoch 3/16: selected 3, broad 91881.76 vs 96939.56
Epoch 4/16: selected 4, broad 91166.11 vs 96939.56
Epoch 5/16: selected 5, broad 91089.39 vs 96939.56
Epoch 6/16: selected 6, broad 90467.53 vs 96939.56
Epoch 7/16: selected 7, broad 89992.95 vs 96939.56
Epoch 8/16: selected 8, broad 89837.99 vs 96939.56
Epoch 9/16: selected 8, broad 89837.99 vs 96939.56
Epoch 10/16: selected 10, broad 89571.11 vs 96939.56
Epoch 11/16: selected 11, broad 89443.62 vs 96939.56
Epoch 12/16: selected 12, broad 89258.41 vs 96939.56
Epoch 13/16: selected 13, broad 89109.69 vs 96939.56
Epoch 14/16: selected 14, broad 89046.09 vs 96939.56
Epoch 15/16: selected 15, broad 88672.60 vs 96939.56
Epoch 16/16: selected 16, broad 88592.42 vs 96939.56
