Epoch 1/16: selected 0, broad 96939.56 vs 96939.56
Epoch 2/16: selected 2, broad 90443.14 vs 96939.56
Epoch 3/16: selected 2, broad 90443.14 vs 96939.56
Epoch 4/16: selected 4, broad 88677.70 vs 96939.56
Epoch 5/16: selected 5, broad 88291.00 vs 96939.56
Epoch 6/16: selected 6, broad 87690.13 vs 96939.56
Epoch 7/16: selected 7, broad 87222.51 vs 96939.56
Epoch 8/16: selected 8, broad 87130.25 vs 96939.56
Epoch 9/16: selected 8, broad 87130.25 vs 96939.56
Epoch 10/16: selected 10, broad 86897.70 vs 96939.56
Epoch 11/16: selected 11, broad 86513.84 vs 96939.56
Epoch 12/16: selected 12, broad 86451.43 vs 96939.56
Epoch 13/16: selected 13, broad 85876.38 vs 96939.56
Epoch 14/16: selected 13, broad 85876.38 vs 96939.56
Epoch 15/16: selected 15, broad 85160.29 vs 96939.56
Epoch 16/16: selected 15, broad 85160.29 vs 96939.56
